"","accession_1","accession_2","taxonID","phylum"
"533","BSCDL204-11",NA,7711,"Chordata"
"534","BSCDL205-11",NA,7711,"Chordata"
"535","BSCDL206-11",NA,7711,"Chordata"
"536","BSCDL207-11",NA,7711,"Chordata"
"537","BSCDL208-11",NA,7711,"Chordata"
"538","BSCDL209-11",NA,7711,"Chordata"
"539","BSCDL210-11",NA,7711,"Chordata"
"540","BSCDL211-11",NA,7711,"Chordata"
"541","BSCDL212-11",NA,7711,"Chordata"
"542","BSCDL213-11",NA,7711,"Chordata"
"543","BSCDL214-11",NA,7711,"Chordata"
"544","BSCDL216-11",NA,7711,"Chordata"
"545","BSCDL217-12",NA,7711,"Chordata"
"546","BSCDL218-12",NA,7711,"Chordata"
"547","BSCDL219-12",NA,7711,"Chordata"
"548","BSCDL220-12",NA,7711,"Chordata"
"549","BSCDL221-12",NA,7711,"Chordata"
"550","BSCDL222-12",NA,7711,"Chordata"
"551","BSCDL223-12",NA,7711,"Chordata"
"552","BSCDL224-12",NA,7711,"Chordata"
"553","BSCDL225-12",NA,7711,"Chordata"
"554","BSCDL226-12",NA,7711,"Chordata"
"555","BSCDL228-12",NA,7711,"Chordata"
"556","BSCDL229-12",NA,7711,"Chordata"
"557","BSCDL230-12",NA,7711,"Chordata"
"558","BSCDL231-12",NA,7711,"Chordata"
"559","BSCDL232-12",NA,7711,"Chordata"
"560","BSCDL234-12",NA,7711,"Chordata"
"561","BSCDL235-12",NA,7711,"Chordata"
"562","BSCDL237-12",NA,7711,"Chordata"
"563","BSCDL238-12",NA,7711,"Chordata"
"564","BSCDL239-12",NA,7711,"Chordata"
"565","BSCDL240-12",NA,7711,"Chordata"
"566","BSCDL241-12",NA,7711,"Chordata"
"567","BSCDL242-12",NA,7711,"Chordata"
"568","BSCDL243-12",NA,7711,"Chordata"
"569","BSCDL244-12",NA,7711,"Chordata"
"570","BSCDL245-12",NA,7711,"Chordata"
"571","BSCDL246-12",NA,7711,"Chordata"
"572","BSCDL248-12",NA,7711,"Chordata"
"573","BSCDL252-12",NA,7711,"Chordata"
"574","BSCDL253-12",NA,7711,"Chordata"
"575","BSCDL255-12",NA,7711,"Chordata"
"576","BSCDL257-12",NA,7711,"Chordata"
"577","BSCDL258-12",NA,7711,"Chordata"
"578","BSCDL259-12",NA,7711,"Chordata"
"579","BSCDL260-12",NA,7711,"Chordata"
"580","BSCDL261-12",NA,7711,"Chordata"
"581","BSCDL262-12",NA,7711,"Chordata"
"582","BSCDL263-12",NA,7711,"Chordata"
