Species,Genus,Subfamily,Family,Order,Class,SuperClass,FAO,Status
Oneirodes thompsoni,Oneirodes,NA,Oneirodidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Opaeophacus acrogeneius,Opaeophacus,Gymnelinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Ophichthus triserialis,Ophichthus,Ophichthinae,Ophichthidae,Anguilliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Ophichthus zophochir,Ophichthus,Ophichthinae,Ophichthidae,Anguilliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Ophiodon elongatus,Ophiodon,Ophiodontinae,Hexagrammidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Opisthocentrus ocellatus,Opisthocentrus,NA,Opisthocentridae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Opostomias mitsuii,Opostomias,Melanostomiinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Osmerus dentex,Osmerus,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Osmerus eperlanus,Osmerus,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",questionable
Osmerus mordax,Osmerus,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Osteodiscus cascadiae,Osteodiscus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Oxylebius pictus,Oxylebius,Oxylebiinae,Zaniolepididae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pachycara bulbiceps,Pachycara,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pachycara gymninium,Pachycara,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Pachycara lepinium,Pachycara,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Pachystomias microdon,Pachystomias,Melanostomiinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pallasina barbata,Pallasina,Brachyopsinae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Paralabrax clathratus,Paralabrax,Serraninae,Serranidae,Perciformes/Serranoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Paralichthys californicus,Paralichthys,NA,Paralichthyidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Paraliparis bullacephalus,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Paraliparis cephalus,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Paraliparis dactylosus,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Paraliparis deani,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Paraliparis holomelas,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Paraliparis latifrons,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Paraliparis megalopus,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Paraliparis melanobranchus,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",questionable
Paraliparis mento,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Paraliparis paucidens,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Paraliparis pectoralis,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Paraliparis penicillus,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Paraliparis rosaceus,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Paraliparis ulochir,Paraliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Parataeniophorus brevis,Parataeniophorus,NA,Cetomimidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Paricelinus hopliticus,Paricelinus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Parophrys vetulus,Parophrys,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
