accession,taxonomy
KY798502,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo_salar
KY798503,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salvelinus;Salvelinus_fontinalis
KY798504,root;Eukaryota;Chordata;Actinopteri;Osmeriformes;Retropinnidae;Retropinna;Retropinna_semoni
KY815234,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Acantholabrus;Acantholabrus_palloni
KY815236,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses_chrysocephalus
KY815237,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses_geographicus
KY815238,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses_meleagrides
KY815239,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses_twistii
KY815240,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus_axillaris
KY815241,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus_bilunulatus
KY815243,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus_dictynna
KY815244,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus_diplotaenia
KY815245,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus_loxozonus
KY815246,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus_pulchellus
KY815247,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus_speciosus
KY815248,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cheilinus;Cheilinus_abudjubbe
KY815249,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cheilinus;Cheilinus_chlorourus
KY815251,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cheilinus;Cheilinus_trilobatus
KY815254,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Choerodon;Choerodon_fasciatus
KY815255,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Choerodon;Choerodon_zosterophorus
KY815256,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cirrhilabrus;Cirrhilabrus_cyanopleura
KY815257,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cirrhilabrus;Cirrhilabrus_exquisitus
KY815261,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cirrhilabrus;Cirrhilabrus_punctatus
KY815265,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cirrhilabrus;Cirrhilabrus_scottorum
KY815266,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cirrhilabrus;Cirrhilabrus_temminckii
KY815267,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Coris;Coris_caudimacula
KY815268,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Coris;Coris_dorsomacula
KY815270,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Coris;Coris_hewetti
KY815271,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Coris;Coris_picta
KY815272,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Coris;Coris_pictoides
KY815273,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Coris;Coris_venusta
KY815274,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Ctenolabrus;Ctenolabrus_rupestris
KY815275,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Doratonotus;Doratonotus_megalepis
KY815276,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Epibulus;Epibulus_brevis
KY815277,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Eupetrichthys;Eupetrichthys_angustipes
KY815278,root;Eukaryota;Chordata;Actinopteri;Gerreiformes;Gerreidae;Gerres;Gerres_cinereus
KY815279,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Gomphosus;Gomphosus_caeruleus
KY815280,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_adustus
KY815281,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_aestuaricola
KY815282,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_biocellatus
KY815283,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_brasiliensis
KY815284,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_chloropterus
KY815285,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_chrysus
KY815286,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_dispilus
KY815287,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_garnoti
KY815288,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_iridis
KY815289,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_leucurus
KY815290,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_maculipinna
KY815291,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_melanochir
KY815292,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_melanotis
KY815293,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_melanurus
KY815294,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_nebulosus
KY815295,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_ornatissimus
KY815296,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_podostigma
KY815297,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_poeyi
KY815298,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_prosopeion
KY815299,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_richmondi
KY815300,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_semicinctus
KY815301,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_trimaculatus
KY815302,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_vrolikii
KY815303,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_zeylonicus
KY815304,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Hemigymnus;Hemigymnus_fasciatus
KY815305,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Hologymnosus;Hologymnosus_annulatus
KY815306,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Iniistius;Iniistius_pavo
KY815307,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Iniistius;Iniistius_pentadactylus
KY815308,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Iniistius;Iniistius_umbrilatus
